Date, Open, High, Low, Close, Volume
01/23/20, 94.2555, 94.4988, 93.638, 94.229, 49692259.3043084
01/22/20, 94.8045, 95.125, 94.167, 94.373, 64325139.099448
01/21/20, 93.25, 94.7135, 93.00, 94.60, 74155698.9618202
01/17/20, 94.2945, 94.332, 92.8625, 93.236, 79946798.8807448
01/16/20, 94.1495, 94.2795, 93.301, 93.897, 53189859.255342
01/15/20, 93.6125, 93.943, 92.7545, 93.101, 57931839.1889543
01/14/20, 94.294, 94.3555, 92.9275, 93.472, 68927619.0350133
01/13/20, 94.5655, 94.90, 94.04, 94.565, 55716879.2199637
01/10/20, 95.2685, 95.347, 94.00, 94.158, 57139179.2000515
01/09/20, 95.4945, 95.891, 94.7902, 95.0525, 63499239.1110106
01/08/20, 94.902, 95.55, 94.3223, 94.5985, 70239319.0166496
01/07/20, 95.225, 95.6945, 94.6022, 95.343, 82680198.8424772
01/06/20, 93.00, 95.1845, 93.00, 95.144, 81313958.8616046
01/03/20, 93.225, 94.3099, 93.225, 93.7485, 75332078.9453509
01/02/20, 93.75, 94.9005, 93.2075, 94.9005, 80718198.8699452
12/31/19, 92.10, 92.663, 91.6115, 92.392, 50207599.2970936
12/30/19, 93.70, 94.20, 92.031, 92.3445, 73546118.9703543
12/27/19, 94.146, 95.07, 93.3005, 93.49, 123775078.267149
12/26/19, 90.0505, 93.523, 89.975, 93.4385, 120492158.31311
12/24/19, 89.6905, 89.7785, 89.3788, 89.4605, 17626739.7532256
12/23/19, 89.413, 89.65, 89.2255, 89.65, 42749859.401502
12/20/19, 89.9808, 90.1485, 89.1225, 89.325, 103049198.557311
12/19/19, 89.025, 89.6495, 88.703, 89.614, 54766399.2332704
12/18/19, 89.751, 89.91, 89.118, 89.2015, 67082739.0608417
12/17/19, 88.9005, 89.60, 88.8695, 89.533, 72933938.9789249
12/16/19, 88.35, 88.475, 87.8525, 88.4605, 62986899.1181834
12/13/19, 88.25, 88.4495, 87.75, 88.047, 54895419.2314641
12/12/19, 87.50, 88.20, 87.272, 88.0165, 62078979.1308943
12/11/19, 87.0835, 87.50, 86.7855, 87.436, 42026359.411631
12/10/19, 87.37, 87.5335, 86.75, 86.9605, 50312879.2956197
12/09/19, 87.533, 88.3446, 87.2805, 87.4755, 50049779.2993031
12/06/19, 87.56, 87.72, 87.0065, 87.58, 62399579.1264059
12/05/19, 88.175, 88.175, 87.00, 87.024, 56557039.2082014
12/04/19, 88.7005, 89.4545, 88.011, 88.0345, 53613999.249404
12/03/19, 88.00, 88.6435, 87.3615, 88.498, 70591639.011717
12/02/19, 90.22, 90.2775, 88.134, 89.08, 78634998.89911
11/29/19, 90.889, 91.2345, 90.0395, 90.04, 38468799.4614368
11/27/19, 90.05, 91.225, 89.8655, 90.9255, 60716919.1499631
11/26/19, 88.996, 89.8515, 88.9175, 89.847, 63808559.1066802
11/25/19, 87.6625, 88.871, 87.662, 88.692, 69789339.0229493
11/22/19, 86.951, 87.3215, 86.55, 87.286, 49581619.3058573
11/21/19, 87.15, 87.3435, 86.518, 86.7355, 53258759.2543774
11/20/19, 87.457, 88.1262, 86.706, 87.2765, 55875179.2177475
11/19/19, 87.8495, 88.034, 87.1515, 87.6395, 45490699.3631302
11/18/19, 86.915, 87.685, 86.1355, 87.6265, 56838139.2042661
11/15/19, 88.0025, 88.084, 86.643, 86.9745, 78622818.8992806
11/14/19, 87.5715, 88.3297, 87.478, 87.73, 45388339.3645632
